預註冊閘門通過：DECISION_20260904_R461_LCB3_REPLICATION_PREREG.md 授權 g_r461_lcb3_three_arm
189 題（lcb3　offset=0　題序 [0, 189)）　輸出 runs/g_r461_lcb3_three_arm
── 量具驗證（先答已知答案）
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
── 模型池：6 個 agent／1 個模型家族
  [OFF5 97/189] 需求符合=True 接受=True 累計呼叫=485
  [OFF 98/189] 需求符合=True 接受=True 累計呼叫=98
  [CONFORM 98/189] 需求符合=True 接受=True 累計呼叫=159
  [OFF5 98/189] 需求符合=True 接受=True 累計呼叫=490
  [OFF 99/189] 需求符合=True 接受=True 累計呼叫=99
  [CONFORM 99/189] 需求符合=True 接受=True 累計呼叫=160
  [OFF5 99/189] 需求符合=True 接受=True 累計呼叫=495
  [OFF 100/189] 需求符合=True 接受=True 累計呼叫=100
  [CONFORM 100/189] 需求符合=True 接受=True 累計呼叫=161
  [OFF5 100/189] 需求符合=True 接受=True 累計呼叫=500
  [OFF 101/189] 需求符合=True 接受=True 累計呼叫=101
  [CONFORM 101/189] 需求符合=True 接受=True 累計呼叫=162
  [OFF5 101/189] 需求符合=True 接受=True 累計呼叫=505
  [OFF 102/189] 需求符合=False 接受=True 累計呼叫=102
  [CONFORM 102/189] 需求符合=True 接受=True 累計呼叫=163
  [OFF5 102/189] 需求符合=False 接受=True 累計呼叫=510
  [OFF 103/189] 需求符合=True 接受=True 累計呼叫=103
  [CONFORM 103/189] 需求符合=True 接受=True 累計呼叫=164
  [OFF5 103/189] 需求符合=True 接受=True 累計呼叫=515
  [OFF 104/189] 需求符合=True 接受=True 累計呼叫=104
  [CONFORM 104/189] 需求符合=True 接受=True 累計呼叫=165
  [OFF5 104/189] 需求符合=True 接受=True 累計呼叫=520
  [OFF 105/189] 需求符合=True 接受=True 累計呼叫=105
  [CONFORM 105/189] 需求符合=True 接受=True 累計呼叫=166
  [OFF5 105/189] 需求符合=True 接受=True 累計呼叫=525
  [OFF 106/189] 需求符合=True 接受=True 累計呼叫=106
  [CONFORM 106/189] 需求符合=True 接受=True 累計呼叫=167
  [OFF5 106/189] 需求符合=True 接受=True 累計呼叫=530
  [OFF 107/189] 需求符合=True 接受=True 累計呼叫=107
  [CONFORM 107/189] 需求符合=True 接受=True 累計呼叫=168
  [OFF5 107/189] 需求符合=True 接受=True 累計呼叫=535
  [OFF 108/189] 需求符合=True 接受=True 累計呼叫=108
  [CONFORM 108/189] 需求符合=True 接受=True 累計呼叫=170
  [OFF5 108/189] 需求符合=True 接受=True 累計呼叫=540
  [OFF 109/189] 需求符合=False 接受=True 累計呼叫=109
  [CONFORM 109/189] 需求符合=False 接受=True 累計呼叫=171
  [OFF5 109/189] 需求符合=False 接受=True 累計呼叫=545
  [OFF 110/189] 需求符合=False 接受=True 累計呼叫=110
  [CONFORM 110/189] 需求符合=False 接受=False 累計呼叫=176
  [OFF5 110/189] 需求符合=False 接受=True 累計呼叫=550
  [OFF 111/189] 需求符合=False 接受=True 累計呼叫=111
  [CONFORM 111/189] 需求符合=True 接受=True 累計呼叫=177
  [OFF5 111/189] 需求符合=False 接受=True 累計呼叫=555
  [OFF 112/189] 需求符合=True 接受=True 累計呼叫=112
  [CONFORM 112/189] 需求符合=True 接受=True 累計呼叫=178
  [OFF5 112/189] 需求符合=True 接受=True 累計呼叫=560
  [OFF 113/189] 需求符合=False 接受=True 累計呼叫=113
  [CONFORM 113/189] 需求符合=True 接受=True 累計呼叫=183
  [OFF5 113/189] 需求符合=True 接受=True 累計呼叫=565
  [OFF 114/189] 需求符合=True 接受=True 累計呼叫=114
  [CONFORM 114/189] 需求符合=True 接受=True 累計呼叫=184
  [OFF5 114/189] 需求符合=True 接受=True 累計呼叫=570
  [OFF 115/189] 需求符合=True 接受=True 累計呼叫=115
  [CONFORM 115/189] 需求符合=False 接受=True 累計呼叫=185
  [OFF5 115/189] 需求符合=True 接受=True 累計呼叫=575
  [OFF 116/189] 需求符合=False 接受=True 累計呼叫=116
  [CONFORM 116/189] 需求符合=True 接受=True 累計呼叫=186
  [OFF5 116/189] 需求符合=True 接受=True 累計呼叫=580
  [OFF 117/189] 需求符合=False 接受=True 累計呼叫=117
  [CONFORM 117/189] 需求符合=True 接受=True 累計呼叫=187
  [OFF5 117/189] 需求符合=False 接受=True 累計呼叫=585
  [OFF 118/189] 需求符合=False 接受=True 累計呼叫=118
  [CONFORM 118/189] 需求符合=True 接受=True 累計呼叫=188
  [OFF5 118/189] 需求符合=True 接受=True 累計呼叫=590
  [OFF 119/189] 需求符合=True 接受=True 累計呼叫=119
  [CONFORM 119/189] 需求符合=True 接受=True 累計呼叫=189
  [OFF5 119/189] 需求符合=True 接受=True 累計呼叫=595
  [OFF 120/189] 需求符合=False 接受=True 累計呼叫=120
